City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
297,Hasaki,75,JP,1595287850,94,35.73,140.83,73.0,4.7
298,Sinnamary,100,GF,1595287813,84,5.38,-52.95,78.67,8.88
299,Luganville,20,VU,1595287861,65,-15.53,167.17,77.0,2.24
300,Tocopilla,99,CL,1595287862,63,-22.09,-70.2,60.78,6.96
301,Lang Suan,20,TH,1595287862,100,9.95,99.08,77.0,3.85
302,Spokane,1,US,1595287854,18,47.62,-117.37,91.0,4.7
303,San Fernando del Valle de Catamarca,35,AR,1595287578,66,-28.47,-65.79,62.01,1.99
304,Bubaque,100,GW,1595287862,80,11.28,-15.83,80.65,14.18
305,Nakamura,100,JP,1595287862,60,32.98,132.93,88.9,1.86
306,Dilla,55,ET,1595287862,80,6.41,38.31,60.21,1.81
307,Tafalla,0,ES,1595287862,59,42.53,-1.67,73.4,3.36
308,Beringovskiy,42,RU,1595287863,78,63.05,179.32,46.35,11.48
309,Palmer,40,US,1595287863,48,42.16,-72.33,87.8,13.87
310,Lerwick,96,GB,1595287863,81,60.15,-1.15,51.8,6.93
311,Emirdağ,0,TR,1595287863,71,39.02,31.15,64.24,4.59
312,Cannington,47,AU,1595287863,62,-32.02,115.95,53.01,12.75
313,Malanje,1,AO,1595287863,39,-9.54,16.34,55.89,2.33
314,Norman Wells,90,CA,1595287863,72,65.28,-126.83,66.2,9.17
315,Belaya Kholunitsa,100,RU,1595287864,97,58.84,50.85,61.05,9.26
316,Douentza,5,ML,1595287864,43,15.0,-2.95,89.55,11.77
317,Pingliang,70,CN,1595287864,70,35.54,106.69,66.16,5.41
318,Novyy Svit,52,UA,1595287864,66,47.81,38.02,67.87,5.12
319,Anuradhapura,100,LK,1595287864,83,8.36,80.42,76.75,7.58
320,Hambantota,100,LK,1595287864,82,6.12,81.12,79.45,9.33
321,Grajaú,28,BR,1595287864,49,-5.82,-46.14,78.39,3.83
322,Caucayá,66,CO,1595287864,95,-0.19,-74.78,72.82,0.27
323,Putyatino,77,RU,1595287865,95,54.16,41.12,57.15,6.49
324,Ostrovnoy,21,RU,1595287865,62,68.05,39.51,61.07,10.18
325,Mezen',0,RU,1595287865,81,65.85,44.24,56.46,4.85
326,Mae Hong Son,99,TH,1595287801,88,19.3,97.97,75.22,1.05
327,Paamiut,99,GL,1595287865,79,61.99,-49.67,46.04,1.9
328,Bahía Honda,76,CU,1595287865,82,22.9,-83.16,79.95,11.12
329,Airai,69,TL,1595287865,68,-8.93,125.41,63.37,3.33
330,Lebu,96,CL,1595287865,84,-37.62,-73.65,50.68,12.28
331,Chełmno,39,PL,1595287866,80,53.35,18.43,62.01,3.0
332,Kavaratti,100,IN,1595287866,79,10.57,72.64,82.63,21.54
333,Deputatsky,6,RU,1595287866,52,69.3,139.9,73.29,5.17
334,Leeton,1,AU,1595287866,100,-34.57,146.4,43.0,3.36
335,Safranbolu,17,TR,1595287866,86,41.25,32.69,62.26,1.81
336,Makkah al Mukarramah,76,SA,1595287866,46,21.43,39.83,86.67,2.51
337,Zheleznodorozhnyy,20,RU,1595287867,88,55.75,38.0,63.0,4.47
338,Crestview,1,US,1595287830,61,30.76,-86.57,86.0,4.7
339,Newport,51,GB,1595287867,74,51.59,-3.0,60.01,1.01
340,Tuatapere,88,NZ,1595287867,80,-46.13,167.68,49.64,7.85
341,Lucapa,0,AO,1595287870,34,-8.42,20.74,61.05,3.76
342,Bilibino,14,RU,1595287870,29,68.05,166.44,72.19,1.34
343,Alekseyevsk,5,RU,1595287871,68,57.84,108.35,57.56,2.62
344,Mayo,75,US,1595287871,74,38.89,-76.51,88.0,13.87
345,Lagoa,2,PT,1595287871,73,39.05,-27.98,68.67,5.39
346,Villefranche-sur-Saône,1,FR,1595287871,54,45.98,4.72,78.8,4.7
347,Shache,100,CN,1595287871,25,38.42,77.24,74.89,7.72
348,Mizdah,0,LY,1595287871,85,31.45,12.98,67.66,10.02
349,Manturovo,100,RU,1595287871,99,58.34,44.76,61.75,3.83
350,Oriximiná,12,BR,1595287872,62,-1.77,-55.87,80.42,2.44
351,Tacuarembó,100,UY,1595287766,80,-31.73,-55.98,68.02,8.21
352,Setermoen,100,NO,1595287872,100,68.86,18.35,51.8,11.41
353,Omsukchan,0,RU,1595287872,46,62.53,155.8,67.28,5.53
354,Kilifi,19,KE,1595287872,82,-3.63,39.85,73.56,13.98
355,Trairi,81,BR,1595287872,84,-3.28,-39.27,76.5,12.88
356,Abalak,0,RU,1595287873,82,58.13,68.59,52.54,7.45
357,Zyryanka,57,RU,1595287873,38,65.75,150.85,77.99,20.4
358,Tegul'det,18,RU,1595287873,98,57.31,88.17,58.82,6.62
359,Bengkulu,69,ID,1595287710,88,-3.8,102.27,75.7,5.41
360,Yebaishou,95,CN,1595287873,50,41.4,119.64,79.05,0.36
361,Ushtobe,45,KZ,1595287873,34,45.25,77.98,73.89,8.9
362,Westport,1,US,1595287873,41,41.14,-73.36,91.4,11.41
363,San Vicente,53,AR,1595287873,81,-26.62,-54.13,61.75,3.71
364,Koumac,18,NC,1595287873,59,-20.57,164.28,71.13,7.81
365,Itarema,78,BR,1595287874,82,-2.92,-39.92,77.14,14.38
366,Abay,6,KZ,1595287875,82,49.63,72.85,55.4,4.47
367,Kiruna,100,SE,1595287875,100,67.86,20.23,51.8,3.36
368,Iralaya,40,HN,1595287875,70,15.0,-83.23,87.8,8.05
369,Jacareacanga,39,BR,1595287876,50,-6.22,-57.75,77.74,1.81
370,Chui,100,UY,1595287830,82,-33.7,-53.46,68.16,9.91
